Human Says:,ChatBot Says:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a chatbot.
What is your name?,My name is Lola. I'm a chatbot.
Hello,Hello to you!
Hi!,Hello there!
How are you?,I am well.  How are you?
How are you?,I'm great! How are you?
What's up?,"The sky? JK, nothin much. How are you?"
I like you.,I like you too.
I like you.,That's sweet! I like you too.
I don't like you.,I'm sorry to hear that.
You are nice.,"Thanks, you seem nice too."
You are cool.,Ditto!
You are smart.,I've worked hard to become so.
Hello,Hi there!
Hello,Hey!
Hello,It's nice to see you!
It's nice to meet you.,It's nice to meet you too!
I think you are great!,That is nice of you to say!
What can you do?,Great question! Right now I can only answer simple questions but my creator plans to make me a more robust robot.
What can you do?,"I am a chatbot created to be helpful. Right now, I don't have any specific role to fill. "
What can you do?,"I can answer basic questions like ""How are you?"" or ""What time is it?"""Cool!,Thanks!
Hey Lola,Hello there!
What is your name?,I'm Lola
how you doing,"I'm doing well, thanks!"
How much does this cost?,I'm not sure what you are talking about. I'm not selling anything
Hy,Hello!
